city,city_type,state,city_size,mode,n,percent,moe,state_abb,state_region
Bedford city,City,Texas,Small,Bike,54,0.2,0.1,TX,South
Bell city,City,California,Small,Bike,234,1.8,0.9,CA,West
Bell Gardens city,City,California,Small,Bike,173,1.1,0.5,CA,West
Bella Vista town,Town,Arkansas,Small,Bike,0,0,0.3,AR,South
Belleville city,City,Illinois,Small,Bike,100,0.5,0.3,IL,North Central
Bellevue city,City,Nebraska,Small,Bike,31,0.1,0.1,NE,North Central
Bellflower city,City,California,Small,Bike,177,0.6,0.3,CA,West
Bellingham city,City,Washington,Small,Bike,1578,4,1,WA,West
Belmont city,City,California,Small,Bike,42,0.3,0.3,CA,West
Beloit city,City,Wisconsin,Small,Bike,86,0.6,0.4,WI,North Central
Belton city,City,Missouri,Small,Bike,32,0.3,0.3,MO,North Central
Belvidere city,City,Illinois,Small,Bike,40,0.4,0.6,IL,North Central
Benbrook city,City,Texas,Small,Bike,42,0.4,0.4,TX,South
Bend city,City,Oregon,Small,Bike,844,2.3,0.7,OR,West
Benicia city,City,California,Small,Bike,90,0.7,0.6,CA,West
Benton city,City,Arkansas,Small,Bike,0,0,0.2,AR,South
Bentonville city,City,Arkansas,Small,Bike,24,0.1,0.2,AR,South
Bergenfield borough,Borough,New Jersey,Small,Bike,39,0.3,0.2,NJ,Northeast
Berwyn city,City,Illinois,Small,Bike,45,0.2,0.2,IL,North Central
Bessemer city,City,Alabama,Small,Bike,0,0,0.3,AL,South
Bethel Park municipality,Municipality,Pennsylvania,Small,Bike,7,0,0.1,PA,Northeast
Bethlehem city,City,Pennsylvania,Small,Bike,84,0.3,0.1,PA,Northeast
Bettendorf city,City,Iowa,Small,Bike,34,0.2,0.2,IA,North Central
Beverly city,City,Massachusetts,Small,Bike,57,0.3,0.2,MA,Northeast
Beverly Hills city,City,California,Small,Bike,87,0.5,0.5,CA,West
Biddeford city,City,Maine,Small,Bike,88,0.8,0.6,ME,Northeast
Big Spring city,City,Texas,Small,Bike,33,0.4,0.4,TX,South
Biloxi city,City,Mississippi,Small,Bike,88,0.4,0.3,MS,South
Binghamton city,City,New York,Small,Bike,208,1.1,0.6,NY,Northeast
Birmingham city,City,Michigan,Small,Bike,21,0.2,0.3,MI,North Central
Bismarck city,City,North Dakota,Small,Bike,271,0.8,0.3,ND,North Central
Bixby city,City,Oklahoma,Small,Bike,22,0.2,0.3,OK,South
Blacksburg town,Town,Virginia,Small,Bike,531,3.1,1,VA,South
Blaine city,City,Minnesota,Small,Bike,30,0.1,0.1,MN,North Central
Bloomingdale village,Village,Illinois,Small,Bike,0,0,0.3,IL,North Central
Bloomington city,City,Illinois,Small,Bike,205,0.5,0.2,IL,North Central
Bloomington city,City,Indiana,Small,Bike,1260,3.6,0.7,IN,North Central
Bloomington city,City,Minnesota,Small,Bike,239,0.6,0.2,MN,North Central
Blue Island city,City,Illinois,Small,Bike,12,0.1,0.2,IL,North Central
Blue Springs city,City,Missouri,Small,Bike,52,0.2,0.3,MO,North Central
Blythe city,City,California,Small,Bike,12,0.2,0.3,CA,West
Boca Raton city,City,Florida,Small,Bike,438,1.1,0.5,FL,South
Bolingbrook village,Village,Illinois,Small,Bike,27,0.1,0.1,IL,North Central
Bonita Springs city,City,Florida,Small,Bike,150,0.9,0.6,FL,South
Bossier City city,City,Louisiana,Small,Bike,101,0.3,0.2,LA,South
Bothell city,City,Washington,Small,Bike,204,1.2,0.7,WA,West
Bountiful city,City,Utah,Small,Bike,44,0.2,0.2,UT,West
Bowie city,City,Maryland,Small,Bike,25,0.1,0.1,MD,South
Bowling Green city,City,Kentucky,Small,Bike,127,0.5,0.3,KY,South
Bowling Green city,City,Ohio,Small,Bike,226,1.5,0.7,OH,North Central
Boynton Beach city,City,Florida,Small,Bike,187,0.6,0.3,FL,South
Bozeman city,City,Montana,Small,Bike,1185,5.8,1.2,MT,West
Bradenton city,City,Florida,Small,Bike,151,0.7,0.5,FL,South
Braintree Town city,City,Massachusetts,Small,Bike,29,0.2,0.2,MA,Northeast
Brandon city,City,Mississippi,Small,Bike,10,0.1,0.1,MS,South
Brawley city,City,California,Small,Bike,22,0.3,0.4,CA,West
Brea city,City,California,Small,Bike,73,0.4,0.3,CA,West
Bremerton city,City,Washington,Small,Bike,221,1.2,0.6,WA,West
Brentwood city,City,California,Small,Bike,11,0.1,0.1,CA,West
Brentwood city,City,Tennessee,Small,Bike,10,0.1,0.1,TN,South
Bridgeton city,City,New Jersey,Small,Bike,3,0,0.1,NJ,Northeast
Brighton city,City,Colorado,Small,Bike,34,0.2,0.2,CO,West
Bristol city,City,Connecticut,Small,Bike,36,0.1,0.1,CT,Northeast
Bristol city,City,Tennessee,Small,Bike,15,0.1,0.2,TN,South
Brockton city,City,Massachusetts,Small,Bike,98,0.2,0.2,MA,Northeast
Brookfield city,City,Wisconsin,Small,Bike,33,0.2,0.2,WI,North Central
Brookings city,City,South Dakota,Small,Bike,454,3.7,1.7,SD,North Central
Brooklyn Center city,City,Minnesota,Small,Bike,147,1.1,0.7,MN,North Central
Brooklyn Park city,City,Minnesota,Small,Bike,53,0.1,0.1,MN,North Central
Broomfield city,City,Colorado,Small,Bike,218,0.7,0.4,CO,West
Brownsburg town,Town,Indiana,Small,Bike,0,0,0.3,IN,North Central
Brunswick city,City,Ohio,Small,Bike,12,0.1,0.1,OH,North Central
Bryan city,City,Texas,Small,Bike,454,1.3,0.6,TX,South
Buckeye town,Town,Arizona,Small,Bike,27,0.1,0.2,AZ,West
Buena Park city,City,California,Small,Bike,453,1.3,0.7,CA,West
Buffalo Grove village,Village,Illinois,Small,Bike,114,0.5,0.3,IL,North Central
Bullhead City city,City,Arizona,Small,Bike,0,0,0.3,AZ,West
Burbank city,City,Illinois,Small,Bike,59,0.5,0.4,IL,North Central
Burien city,City,Washington,Small,Bike,51,0.3,0.2,WA,West
Burleson city,City,Texas,Small,Bike,73,0.4,0.4,TX,South
Burlingame city,City,California,Small,Bike,126,0.9,0.6,CA,West
Burlington city,City,Iowa,Small,Bike,98,0.9,0.9,IA,North Central
Burlington city,City,North Carolina,Small,Bike,0,0,0.2,NC,South
